text,label
hospital immediately,critical
fire in the building,critical
call 911 now,critical
terrible accident come fast,critical
i am bleeding help,critical
chest pain call an ambulance,critical
someone broke in police,critical
sos we are in danger,critical
she is unconscious,critical
rushing to the emergency room,critical
severe allergic reaction,critical
i need a doctor urgently,critical
please help me i am trapped,critical
car crash on the highway,critical
house is on fire get out,critical
he is not breathing,critical
urgent family emergency,critical
call the cops they have a gun,critical
i think i am having a panic attack,critical
panic attack please help,critical
come quick im scared,critical
someones outside my window,critical
i hear gunshots,critical
dial 911,critical
i cant breathe,critical
choking help,critical
send an ambulance right now,critical
my chest hurts so bad,critical
bleeding out need help,critical
i think my arm is broken,critical
car just flipped over,critical
massive pileup on the freeway,critical
we need paramedics,critical
please hurry it hurts,critical
robber broke into my house,critical
hide they have a knife,critical
call the police immediately,critical
room is filling with smoke,critical
gas leak get out,critical
i smell gas leave the house,critical
he collapsed,critical
she just passed out,critical
need cpr fast,critical
head injury bleeding,critical
somebody is following me,critical
im being followed call cops,critical
creepy guy following me help,critical
they are trying to break down the door,critical
intruder in the house,critical
bring the medkit,critical
we need a tourniquet,critical
bitten by a snake,critical
swallowing my tongue,critical
anaphylactic shock,critical
epipen now,critical
seizure call for help,critical
having a stroke,critical
face is drooping call 911,critical
heart attack symptoms,critical
pulse is dropping,critical
lost a lot of blood,critical
fatal crash send medics,critical
stabbing downtown,critical
help me please,critical
need help right now,critical
where is the ambulance,critical
how far are the cops,critical
i am trapped under the car,critical
stuck in the elevator and cant breathe,critical
building is collapsing,critical
earthquake take cover,critical
tornado warning take shelter,critical
active shooter run,critical
shots fired stay down,critical
he has a weapon,critical
grab the kids and run,critical
house is burning,critical
kitchen fire spreading,critical
water rising too fast,critical
flash flood get to roof,critical
i drank poison by mistake,critical
swallowed bleach help,critical
overdose call 911,critical
unresponsive,critical
no pulse starting chest compressions,critical
bring the defibrillator,critical
aed needed immediately,critical
severe burns on my leg,critical
scalded with boiling water,critical
dog attack send help,critical
wild animal attack,critical
brakes failed crashed into tree,critical
hit and run need police,critical
drunk driver just hit us,critical
my water just broke hospital now,critical
baby is not breathing,critical
toddler choking on toy,critical
im locked in the trunk,critical
kidnapping in progress,critical
they took her call 911,critical
hostage situation,critical
domestic violence call cops,critical
he is hitting her,critical
i fear for my life,critical
please send someone,critical
dont text back just call 911,critical
send location to police,critical
i am in the trunk of a car,critical
trapped in the basement,critical
carbon monoxide alarm going off,critical
i feel dizzy and cant stand,critical
vomiting blood,critical
coughing up blood,critical
vision going black,critical
i think im dying,critical
hurry please,critical
get here now emergency,critical
fatal accident,critical
major trauma,critical
spinal injury dont move him,critical
neck is broken,critical
fractured skull,critical
severe concussion,critical
he is bleeding from the ears,critical
project meeting tomorrow,important
submit your assignment,important
interview scheduled for monday,important
